# Table of coordinated (x, y) factor concentrations (Header file)
# random seed: 1 
timestep x y Activator Inhibitor
0 1 1 6.71821220562006105e-02 4.23716868468616337e-01
0 1 2 3.81887309488307014e-01 1.27534512869710848e-01
0 1 3 2.47717543545970476e-01 2.24745532394369063e-01
0 1 4 3.25796486361381477e-01 3.94361675567756587e-01
0 1 5 4.69297933871174466e-02 1.41737382610031548e-02
0 1 6 4.17882551959934845e-01 2.16383533952526685e-01
0 1 7 3.81140041228970994e-01 1.05302667555534635e-03
0 1 8 2.22693597027400714e-01 3.60770016170391283e-01
0 1 9 1.14381110635226324e-01 4.72635347776961146e-01
0 1 10 4.50713728805741787e-01 1.52949915167767680e-02
0 2 1 1.27229304967304002e-02 2.70706236396748290e-01
0 2 2 4.69574581389255286e-01 1.90602118844106216e-01
0 2 3 1.08299698565306690e-01 2.11058287791358656e-01
0 2 4 1.45203937874339717e-02 1.10845833136517524e-01
0 2 5 2.18943796825286030e-01 2.47906120690925325e-01
0 2 6 1.16542225128786314e-01 1.15433270770492147e-01
0 2 7 1.09390518668844305e-01 2.29801732868866793e-01
0 2 8 1.44890807295242785e-01 1.07448526329544380e-02
0 2 9 4.18788987831286430e-01 2.78227161326216721e-01
0 2 10 3.21147181466222786e-01 9.29531329473588519e-02
0 3 1 4.96271706088032560e-01 4.29973264397644939e-01
0 3 2 6.04449799029032064e-02 1.66347592680064549e-01
0 3 3 3.60742203791634186e-01 3.55595884847639820e-01
0 3 4 4.68220293399729814e-01 2.11053499980707604e-01
0 3 5 4.15017846637163512e-01 3.35152783207035510e-01
0 3 6 1.51684255466458806e-01 2.93790303071779724e-01
0 3 7 4.41239500415928854e-01 4.23098709214156377e-01
0 3 8 2.52641910289800209e-01 2.94501128991275840e-01
0 3 9 1.72629150756707928e-02 1.21369986771533822e-01
0 3 10 3.98702123777151418e-01 2.07156999650387141e-01
0 4 1 8.65037007895254617e-02 2.74399380694076489e-01
0 4 2 3.51520381032815743e-01 3.37242915251163622e-01
0 4 3 1.87351510250820141e-01 2.19480815022281561e-01
0 4 4 2.54213244124990911e-01 3.89221307500072888e-01
0 4 5 2.60469208806572594e-01 1.96627547482113030e-01
0 4 6 2.44846760231129112e-01 1.47874819834535320e-02
0 4 7 2.17436451782637152e-02 3.51691044301917999e-01
0 4 8 4.91593858654836957e-01 2.96591865190028781e-01
0 4 9 1.96799843188956991e-01 8.51745984278406421e-02
0 4 10 2.51119279216741542e-01 4.91038318769267124e-01
0 5 1 3.85261569915400282e-01 2.69808724224889385e-01
0 5 2 4.30144889460274793e-01 1.16088064031507288e-01
0 5 3 2.56885831593818503e-01 4.76233694134134744e-01
0 5 4 2.88897403900601535e-01 2.29565865955334181e-01
0 5 5 1.34639738720710611e-01 2.73998154733124444e-01
0 5 6 4.78558140730113435e-01 2.85456472519646232e-03
0 5 7 3.91827616307694915e-01 4.10242955962740963e-01
0 5 8 4.43089790413004114e-01 3.70251705916598173e-01
0 5 9 4.04569950436239778e-01 2.59339141761501024e-01
0 5 10 2.80678932389189506e-01 2.13045339844075088e-01
0 6 1 2.80616487603702058e-02 4.35005077588319911e-01
0 6 2 2.84999666938190122e-01 9.99197100885715339e-02
0 6 3 2.52360233714431670e-01 2.42462556113867078e-01
0 6 4 1.78394982272477853e-01 1.73038959509077439e-01
0 6 5 2.69239397868922148e-01 3.11744726398752559e-01
0 6 6 3.06226232391362818e-01 2.29073400049862208e-01
0 6 7 1.39874920419211790e-02 1.14802515638511959e-01
0 6 8 8.86056294692913471e-02 2.92230435389220666e-01
0 6 9 4.30504430426662421e-01 3.99219470288713019e-01
0 6 10 3.98548781317748124e-01 4.08218685280345439e-01
0 7 1 1.27647020043652970e-01 4.20872416137048011e-01
0 7 2 3.36556762719353530e-01 4.16170689019489393e-02
0 7 3 8.34531505777980076e-03 7.27998746240615668e-03
0 7 4 3.77793387626099098e-01 1.24779612826711406e-01
0 7 5 5.47443136471796876e-02 3.12401042076238145e-01
0 7 6 1.72211432048247459e-01 3.47576892654236635e-02
0 7 7 7.98127623469237490e-02 2.63690199524006408e-01
